variant,rounds,stride,n_key_summaries,mean_mean_hamming_distance,sd_mean_hamming_distance,ci95_low_across_keys,ci95_high_across_keys
static,16,2,4,63.955225,0.024014769760850697,63.931690525634366,63.97875947436563
static,16,256,4,63.983925,0.050308870987131424,63.93462230643261,64.03322769356738
static,16,4,4,63.9855,0.028243701362724905,63.95782117266453,64.01317882733547
static,16,8,4,64.01085,0.054128519900939795,63.95780405049708,64.06389594950292
static,8,1,4,59.8439,5.097986154682392,54.84787356841125,64.83992643158874
static,8,16,4,55.328649999999996,0.5707905073959577,54.76927530275196,55.888024697248035
static,8,2,4,56.622225,0.3515315194497712,56.277724110939225,56.966725889060776
static,8,256,4,58.5882,0.7082753654711809,57.89409014183824,59.28230985816176
static,8,4,4,55.765150000000006,0.9826357836621508,54.8021669320111,56.728133067988914
static,8,8,4,56.12632500000001,0.6032127340333616,55.53517652064731,56.717473479352705
