key_index,variant,rounds,difference,samples,distinct_output_differences,max_multiplicity,collision_pairs,max_observed_probability,mean_output_difference_weight
0,position_only,12,full_byte_0,10000,10000,1,0,0.0001,63.7572
0,static,12,full_byte_5,10000,10000,1,0,0.0001,63.9567
0,rotor,12,full_byte_5,10000,10000,1,0,0.0001,63.986
0,round_only,12,full_byte_5,10000,10000,1,0,0.0001,63.9407
0,position_only,12,full_byte_5,10000,10000,1,0,0.0001,64.0133
0,static,12,full_byte_10,10000,10000,1,0,0.0001,63.8838
0,rotor,12,full_byte_10,10000,10000,1,0,0.0001,63.9526
0,round_only,12,full_byte_10,10000,10000,1,0,0.0001,63.9116
0,position_only,12,full_byte_10,10000,10000,1,0,0.0001,63.9115
0,static,12,full_byte_15,10000,10000,1,0,0.0001,63.8625
0,rotor,12,full_byte_15,10000,10000,1,0,0.0001,63.929
0,round_only,12,full_byte_15,10000,10000,1,0,0.0001,63.9632
0,position_only,12,full_byte_15,10000,10000,1,0,0.0001,63.9055
0,static,12,two_byte_weight2,10000,10000,1,0,0.0001,63.609
0,rotor,12,two_byte_weight2,10000,10000,1,0,0.0001,63.6342
0,round_only,12,two_byte_weight2,10000,10000,1,0,0.0001,63.6812
0,position_only,12,two_byte_weight2,10000,10000,1,0,0.0001,63.4701
0,static,12,four_byte_weight4,10000,10000,1,0,0.0001,64.0935
0,rotor,12,four_byte_weight4,10000,10000,1,0,0.0001,63.9854
0,round_only,12,four_byte_weight4,10000,10000,1,0,0.0001,64.0241
0,position_only,12,four_byte_weight4,10000,10000,1,0,0.0001,64.0151
0,static,16,single_bit_0,10000,10000,1,0,0.0001,63.9844
0,rotor,16,single_bit_0,10000,10000,1,0,0.0001,64.0541
0,round_only,16,single_bit_0,10000,10000,1,0,0.0001,64.029
0,position_only,16,single_bit_0,10000,10000,1,0,0.0001,64.0764
0,static,16,single_bit_19,10000,10000,1,0,0.0001,63.9444
0,rotor,16,single_bit_19,10000,10000,1,0,0.0001,64.0241
0,round_only,16,single_bit_19,10000,10000,1,0,0.0001,64.0198
0,position_only,16,single_bit_19,10000,10000,1,0,0.0001,63.9658
0,static,16,single_bit_44,10000,10000,1,0,0.0001,64.0698
0,rotor,16,single_bit_44,10000,10000,1,0,0.0001,63.8745
0,round_only,16,single_bit_44,10000,10000,1,0,0.0001,64.0303
0,position_only,16,single_bit_44,10000,10000,1,0,0.0001,63.9854
0,static,16,single_bit_68,10000,10000,1,0,0.0001,64.0267
0,rotor,16,single_bit_68,10000,10000,1,0,0.0001,63.9898
0,round_only,16,single_bit_68,10000,10000,1,0,0.0001,64.0756
0,position_only,16,single_bit_68,10000,10000,1,0,0.0001,63.9629
0,static,16,single_bit_93,10000,10000,1,0,0.0001,63.9755
0,rotor,16,single_bit_93,10000,10000,1,0,0.0001,64.0966
0,round_only,16,single_bit_93,10000,10000,1,0,0.0001,64.0174
0,position_only,16,single_bit_93,10000,10000,1,0,0.0001,64.0414
0,static,16,single_bit_127,10000,10000,1,0,0.0001,64.0347
0,rotor,16,single_bit_127,10000,10000,1,0,0.0001,64.1438
0,round_only,16,single_bit_127,10000,10000,1,0,0.0001,63.9185
0,position_only,16,single_bit_127,10000,10000,1,0,0.0001,64.0201
0,static,16,full_byte_0,10000,10000,1,0,0.0001,63.9163
0,rotor,16,full_byte_0,10000,10000,1,0,0.0001,64.0318
0,round_only,16,full_byte_0,10000,10000,1,0,0.0001,64.0227
0,position_only,16,full_byte_0,10000,10000,1,0,0.0001,64.0368
0,static,16,full_byte_5,10000,10000,1,0,0.0001,63.9886
0,rotor,16,full_byte_5,10000,10000,1,0,0.0001,63.9895
0,round_only,16,full_byte_5,10000,10000,1,0,0.0001,63.958
0,position_only,16,full_byte_5,10000,10000,1,0,0.0001,64.0116
0,static,16,full_byte_10,10000,10000,1,0,0.0001,63.9727
0,rotor,16,full_byte_10,10000,10000,1,0,0.0001,63.974
0,round_only,16,full_byte_10,10000,10000,1,0,0.0001,63.9573
0,position_only,16,full_byte_10,10000,10000,1,0,0.0001,64.1033
0,static,16,full_byte_15,10000,10000,1,0,0.0001,63.969
0,rotor,16,full_byte_15,10000,10000,1,0,0.0001,64.025
0,round_only,16,full_byte_15,10000,10000,1,0,0.0001,63.9427
0,position_only,16,full_byte_15,10000,10000,1,0,0.0001,63.9658
0,static,16,two_byte_weight2,10000,10000,1,0,0.0001,63.9811
0,rotor,16,two_byte_weight2,10000,10000,1,0,0.0001,63.9451
0,round_only,16,two_byte_weight2,10000,10000,1,0,0.0001,64.0571
0,position_only,16,two_byte_weight2,10000,10000,1,0,0.0001,64.0889
0,static,16,four_byte_weight4,10000,10000,1,0,0.0001,64.0595
0,rotor,16,four_byte_weight4,10000,10000,1,0,0.0001,63.9247
0,round_only,16,four_byte_weight4,10000,10000,1,0,0.0001,64.0736
0,position_only,16,four_byte_weight4,10000,10000,1,0,0.0001,64.0251
1,static,4,single_bit_0,10000,9955,4,64,0.0004,20.2512
1,rotor,4,single_bit_0,10000,9970,3,35,0.0003,20.5852
1,round_only,4,single_bit_0,10000,9950,3,59,0.0003,20.345
1,position_only,4,single_bit_0,10000,9961,4,49,0.0004,21.1003
