key_index,variant,rounds,trials,mean_hamming_distance,sd,ci95_low,ci95_high
1,static,16,2000,63.9955,5.836909670986319,63.73968615466411,64.25131384533589
1,rotor,16,2000,64.086,5.611715395031846,63.840055728964,64.331944271036
1,round_only,16,2000,64.0845,5.644846490025037,63.837103694704766,64.33189630529525
1,position_only,16,2000,64.0745,5.584043384525243,63.829768508296716,64.31923149170329
2,static,1,2000,3.9575,1.4190491888233296,3.895307427187352,4.019692572812648
2,rotor,1,2000,4.051,1.422818050772059,3.9886422495296547,4.113357750470345
2,round_only,1,2000,3.9575,1.4190491888233296,3.895307427187352,4.019692572812648
2,position_only,1,2000,4.051,1.422818050772059,3.9886422495296547,4.113357750470345
2,static,2,2000,7.4615,2.404664000328786,7.356110953511478,7.566889046488522
2,rotor,2,2000,7.378,2.350505996422815,7.274984532685363,7.481015467314637
2,round_only,2,2000,7.359,2.3551841639717077,7.255779502952634,7.462220497047366
2,position_only,2,2000,7.453,2.3500111225562463,7.350006221488839,7.555993778511161
2,static,4,2000,17.8205,6.671171712376171,17.528123008606443,18.112876991393556
2,rotor,4,2000,18.2775,6.626571472091534,17.987077700320594,18.567922299679406
2,round_only,4,2000,17.9995,6.703429550153185,17.705709246532145,18.293290753467858
2,position_only,4,2000,17.942,6.589487588070613,17.653202973197185,18.230797026802815
2,static,5,2000,32.602,11.663859516018043,32.090808817946645,33.11319118205335
2,rotor,5,2000,32.3685,11.58480952177583,31.860773336697278,32.87622666330272
2,round_only,5,2000,32.721,11.805161579578654,32.20361598196479,33.238384018035205
2,position_only,5,2000,32.595,11.574712177025852,32.08771587234264,33.102284127657356
2,static,8,2000,54.072,10.856553245583383,53.596190575253985,54.54780942474602
2,rotor,8,2000,54.434,10.78140822813471,53.96148395085081,54.90651604914918
2,round_only,8,2000,54.221,10.826946494057898,53.74648814835045,54.69551185164954
2,position_only,8,2000,54.2855,10.7875936073769,53.81271286465316,54.75828713534684
2,static,12,2000,63.4555,6.012411687263986,63.191994439667845,63.71900556033216
2,rotor,12,2000,63.3385,6.061129135169173,63.072859303373804,63.6041406966262
2,round_only,12,2000,63.4405,5.815958427999473,63.18560438337334,63.69539561662666
2,position_only,12,2000,63.623,5.8956127862218475,63.36461337720342,63.881386622796576
2,static,16,2000,64.024,5.717146743213937,63.77343499639871,64.2745650036013
2,rotor,16,2000,64.038,5.572798582581378,63.7937613334709,64.2822386665291
2,round_only,16,2000,64.256,5.569288328524851,64.011915177138,64.50008482286201
2,position_only,16,2000,64.126,5.554056875283773,63.88258272500893,64.36941727499108
3,static,1,2000,4.026,1.3976053270953006,3.964747245864822,4.087252754135178
3,rotor,1,2000,4.0565,1.38356961604439,3.9958623880236606,4.117137611976339
3,round_only,1,2000,4.026,1.3976053270953006,3.964747245864822,4.087252754135178
3,position_only,1,2000,4.0565,1.38356961604439,3.9958623880236606,4.117137611976339
3,static,2,2000,7.3845,2.33331993969333,7.282237744831164,7.486762255168836
3,rotor,2,2000,7.438,2.3975049562008217,7.332924712454229,7.54307528754577
3,round_only,2,2000,7.458,2.3291518787397956,7.355920418156643,7.5600795818433575
3,position_only,2,2000,7.384,2.435263693037638,7.277269862848922,7.490730137151079
3,static,4,2000,18.0,6.663797948733948,17.70794617804682,18.29205382195318
3,rotor,4,2000,18.02,6.59176195435116,17.73110329470005,18.30889670529995
3,round_only,4,2000,18.1285,6.516841440543155,17.842886830991013,18.414113169008985
3,position_only,4,2000,18.2455,6.588393826769033,17.956750909399766,18.534249090600234
3,static,5,2000,32.914,11.641493296956861,32.40378906071657,33.424210939283434
3,rotor,5,2000,33.061,12.083512926393597,32.531416696315894,33.590583303684106
3,round_only,5,2000,33.119,11.870774896708475,32.59874035155309,33.63925964844691
3,position_only,5,2000,33.0,11.866735427439698,32.4799173890995,33.5200826109005
3,static,8,2000,53.941,10.680990627296243,53.472884946250424,54.40911505374958
3,rotor,8,2000,54.4685,11.028999372725604,53.985132790504146,54.95186720949585
3,round_only,8,2000,54.372,10.781128529341586,53.89949620919091,54.84450379080909
3,position_only,8,2000,54.1055,10.964510020515965,53.62495916098131,54.586040839018686
3,static,12,2000,63.595,5.733097697109503,63.34373591502126,63.846264084978735
3,rotor,12,2000,63.526,5.958529687600709,63.264855922422456,63.78714407757755
3,round_only,12,2000,63.6005,5.924732143775594,63.340837165089575,63.86016283491042
3,position_only,12,2000,63.3125,5.9998202199179,63.04954628505552,63.57545371494448
3,static,16,2000,64.086,5.6675095352514475,63.83761044295457,64.33438955704543
3,rotor,16,2000,63.8735,5.687061550971844,63.62425353808411,64.1227464619159
3,round_only,16,2000,64.0055,5.548771411951573,63.76231437065287,64.24868562934714
3,position_only,16,2000,63.803,5.575099269603455,63.5586605014164,64.0473394985836
