rounds,max_single_trail_log2_probability,max_single_trail_probability,variant,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,key_index
8,-53.0,1.1102230246251565e-16,rotor,2.5113799928533354e-12,-38.534656801664454,60,2
12,-79.0,1.6543612251060553e-24,rotor,2.2881363604937985e-18,-58.60053267650913,60,2
16,-106.0,1.232595164407831e-32,rotor,2.2644497878955652e-24,-78.54711372799797,60,2
4,-26.0,1.4901161193847656e-08,round_only,1.9744038581848145e-06,-18.950151450549438,107,2
8,-52.0,2.220446049250313e-16,round_only,1.9904911052748275e-12,-38.87001271404379,31,2
12,-78.0,3.308722450212111e-24,round_only,1.8644916738717026e-18,-58.89592335338756,31,2
16,-105.0,2.465190328815662e-32,round_only,1.8510737806143353e-24,-78.83791187760141,31,2
4,-25.0,2.9802322387695312e-08,position_only,2.2314488887786865e-06,-18.773587807211214,107,2
8,-53.0,1.1102230246251565e-16,position_only,2.0388274402094453e-12,-38.83539746319036,88,2
12,-79.0,1.6543612251060553e-24,position_only,1.8325594002998587e-18,-58.92084574555933,88,2
16,-106.0,1.232595164407831e-32,position_only,1.805720758740611e-24,-78.8736994692665,88,2
4,-25.0,2.9802322387695312e-08,static,2.637505531311035e-06,-18.532394449917003,112,3
8,-52.0,2.220446049250313e-16,static,2.7332164309612494e-12,-38.412537433814094,58,3
12,-79.0,1.6543612251060553e-24,static,2.9544632760333996e-18,-58.231809641642506,43,3
16,-105.0,2.465190328815662e-32,static,3.168274790174857e-24,-78.06257680891511,43,3
4,-26.0,1.4901161193847656e-08,rotor,2.0116567611694336e-06,-18.92318440294917,43,3
8,-53.0,1.1102230246251565e-16,rotor,2.198380366635888e-12,-38.726696113788144,43,3
12,-80.0,8.271806125530277e-25,rotor,2.0901483027349703e-18,-58.73110039818804,43,3
16,-107.0,6.162975822039155e-33,rotor,1.9621802769718626e-24,-78.75381668082355,43,3
4,-26.0,1.4901161193847656e-08,round_only,1.9408762454986572e-06,-18.974860437721492,43,3
8,-53.0,1.1102230246251565e-16,round_only,1.892250245383309e-12,-38.9430342445271,43,3
12,-80.0,8.271806125530277e-25,round_only,1.775218568153435e-18,-58.96670904517017,43,3
16,-107.0,6.162975822039155e-33,round_only,1.6302446845053057e-24,-79.0211857615338,43,3
4,-26.0,1.4901161193847656e-08,position_only,2.596527338027954e-06,-18.554985154131575,120,3
8,-52.0,2.220446049250313e-16,position_only,2.4413387977872958e-12,-38.57546461904318,120,3
12,-78.0,3.308722450212111e-24,position_only,2.147018779305581e-18,-58.69237089791578,120,3
