context_index,variant,rounds,max_weight1_class_probability,max_weight1_class_log2_probability,max_weight1_class_start_bit,max_single_trail_probability,max_single_trail_log2_probability,class_minus_single_gap_bits,finite_4_16_decay_bits_per_round
147,static,16,5.9713165003337286e-24,-77.148225238752,40,2.4651903288156619e-32,-105.000000000000,27.851774761248,4.910619265956
147,position_only,4,2.8498470783233643e-06,-18.420684062420,40,1.4901161193847656e-08,-26.000000000000,7.579315937580,4.943456035500
147,position_only,8,2.9811708657234703e-12,-38.287258072924,40,2.2204460492503131e-16,-52.000000000000,13.712741927076,4.943456035500
147,position_only,12,3.4832883719386171e-18,-57.994255793318,40,1.6543612251060553e-24,-79.000000000000,21.005744206682,4.943456035500
147,position_only,16,3.8955912670424073e-24,-77.764431962285,40,2.4651903288156619e-32,-105.000000000000,27.235568037715,4.943456035500
147,rotor,4,2.3245811462402344e-06,-18.714597781138,40,1.4901161193847656e-08,-26.000000000000,7.285402218862,4.949857917466
147,rotor,8,2.4979185386797553e-12,-38.542410709644,101,1.1102230246251565e-16,-53.000000000000,14.457589290356,4.949857917466
147,rotor,12,2.7950096856042955e-18,-58.311852425495,43,8.2718061255302767e-25,-80.000000000000,21.688147574505,4.949857917466
147,rotor,16,3.0385537980299541e-24,-78.122889442065,43,6.1629758220391547e-33,-107.000000000000,28.877110557935,4.949857917466
147,round_only,4,2.2612512111663818e-06,-18.754447293744,36,7.4505805969238281e-09,-27.000000000000,8.245552706256,4.965471450274
147,round_only,8,2.2562923751578978e-12,-38.689183111311,63,1.1102230246251565e-16,-53.000000000000,14.310816888689,4.965471450274
147,round_only,12,2.38148302053616e-18,-58.542845445341,68,1.6543612251060553e-24,-79.000000000000,20.457154554659,4.965471450274
147,round_only,16,2.6088760906907108e-24,-78.342845852724,63,1.2325951644078309e-32,-106.000000000000,27.657154147276,4.965471450274
148,static,4,2.078711986541748e-06,-18.875878688171,102,1.4901161193847656e-08,-26.000000000000,7.124121311829,4.953763148461
148,static,8,2.5834751005149315e-12,-38.493824159487,102,1.1102230246251565e-16,-53.000000000000,14.506175840513,4.953763148461
148,static,12,2.6737795425945958e-18,-58.375825190154,102,8.2718061255302767e-25,-80.000000000000,21.624174809846,4.953763148461
148,static,16,2.6899026349085077e-24,-78.298720324097,102,6.1629758220391547e-33,-107.000000000000,28.701279675903,4.953763148461
148,position_only,4,2.0638108253479004e-06,-18.886257833951,85,2.9802322387695312e-08,-25.000000000000,6.113742166049,4.962043106644
148,position_only,8,2.3806373539159154e-12,-38.611789269218,24,4.4408920985006262e-16,-51.000000000000,12.388210730782,4.962043106644
