context_index,variant,period_rounds,spectral_decay_bits_per_round,period_perron_factor,iterations
116,round_only,16,4.983575819235,9.9244645301388341e-25,8
117,static,16,4.981117781144,1.0198731892118474e-24,11
117,position_only,16,5.042677113070,5.1528427386585584e-25,12
117,rotor,16,5.013268809640,7.1398878731700374e-25,11
117,round_only,16,5.008471661563,7.5300309107696218e-25,11
118,static,16,4.964544246784,1.2256663718092626e-24,12
118,position_only,16,5.016997521355,6.8506554648676013e-25,13
118,rotor,16,4.988753974815,9.3705827777456587e-25,12
118,round_only,16,4.997802661675,8.4758601597171986e-25,11
119,static,16,4.945772772983,1.509331713951176e-24,11
119,position_only,16,4.952955296303,1.3937671299631215e-24,11
119,rotor,16,4.965708851980,1.2099376001416168e-24,10
119,round_only,16,4.957106782045,1.3310509211790988e-24,10
120,static,16,5.027014474737,6.1303556614591944e-25,10
120,position_only,16,4.966487927923,1.1995284958517038e-24,10
120,rotor,16,4.979234638834,1.0413969279209708e-24,10
120,round_only,16,4.973415423212,1.1108218849309841e-24,10
121,static,16,5.017220204297,6.8337577351875324e-25,11
121,position_only,16,5.040151724226,5.299200758931831e-25,9
121,rotor,16,5.007605034946,7.6027524299618489e-25,10
121,round_only,16,5.016085067355,6.9203322029282713e-25,9
122,static,16,4.960740341855,1.278479305034149e-24,12
122,position_only,16,5.040558178643,5.2753671838856438e-25,13
122,rotor,16,5.025585616136,6.2282744309551219e-25,11
122,round_only,16,5.021206805366,6.538199897058103e-25,11
123,static,16,4.929728618050,1.8032712045799287e-24,11
123,position_only,16,4.992264056550,9.0128130610003386e-25,12
123,rotor,16,4.994412242424,8.8006281058794601e-25,9
123,round_only,16,4.995792475095,8.6669403218469068e-25,11
124,static,16,4.972066019792,1.127570751308637e-24,12
124,position_only,16,5.033089611940,5.7309272450036003e-25,10
124,rotor,16,5.011870091074,7.251507349121286e-25,10
124,round_only,16,5.020034553693,6.6237559265096153e-25,9
125,static,16,4.974912782523,1.0925276231927914e-24,10
125,position_only,16,4.995196727025,8.7243928822607569e-25,10
125,rotor,16,4.988840215620,9.3616246515458827e-25,9
125,round_only,16,4.981736445660,1.0128995771316437e-24,11
126,static,16,4.987604586427,9.4907953233328774e-25,11
126,position_only,16,4.977920084580,1.0566905325642315e-24,12
126,rotor,16,4.977049404050,1.0669435238397768e-24,10
126,round_only,16,4.981710979920,1.013185684774254e-24,10
127,static,16,4.896662307271,2.6021017213047324e-24,11
127,position_only,16,4.986570965802,9.6002163542807865e-25,10
127,rotor,16,4.955813818501,1.35027492662818e-24,10
127,round_only,16,4.950038616659,1.439588428305173e-24,12
128,static,16,4.950578733415,1.430990944623166e-24,9
128,position_only,16,5.002983391836,8.0025961343290289e-25,11
128,rotor,16,4.989783951652,9.2641534220782922e-25,10
128,round_only,16,4.992408674945,8.9983692726625838e-25,9
129,static,16,4.966001898668,1.2060116959392114e-24,12
129,position_only,16,4.966566566028,1.1984828137241575e-24,10
129,rotor,16,4.983904019982,9.888406504331196e-25,9
129,round_only,16,4.971758167622,1.1314270712387537e-24,11
130,static,16,4.992945490031,8.9449569050338315e-25,11
130,position_only,16,4.953502529140,1.3853339647257492e-24,12
130,rotor,16,4.963152444859,1.2447320058037879e-24,12
130,round_only,16,4.966750562956,1.1960396937618165e-24,12
131,static,16,5.006585757987,7.6891826214356887e-25,10
131,position_only,16,4.983757483519,9.9044896279616596e-25,10
131,rotor,16,5.033114214895,5.729363743293997e-25,10
131,round_only,16,5.028639746464,6.0208468840520776e-25,9
132,static,16,5.001806725047,8.1077115995714836e-25,10
132,position_only,16,5.041414146393,5.2255251455875713e-25,11
132,rotor,16,5.015409440973,6.9723805655825954e-25,10
132,round_only,16,5.015161582845,6.9915728527229567e-25,11
133,static,16,5.081286724082,3.358029226708617e-25,11
133,position_only,16,4.963455253205,1.2405588931371762e-24,10
133,rotor,16,5.014387360488,7.051863769339828e-25,11
133,round_only,16,5.009366951353,7.4556345750731917e-25,9
134,static,16,5.000097827526,8.262836562454357e-25,11
134,position_only,16,4.932619666984,1.7463704275722325e-24,11
134,rotor,16,4.974550187140,1.0969298625266637e-24,9
134,round_only,16,4.980979531056,1.0214381015616217e-24,9
135,static,16,4.977567213054,1.0608339620480527e-24,11
135,position_only,16,4.931068786182,1.7766674869867906e-24,11
135,rotor,16,4.974058878437,1.1029231138048634e-24,12
135,round_only,16,4.979157481325,1.0422884369814277e-24,12
136,static,16,4.976365088275,1.0750716879867528e-24,9
136,position_only,16,4.975463578659,1.085874233198303e-24,12
136,rotor,16,4.969765667647,1.1567071014292883e-24,11
136,round_only,16,4.961645756175,1.2657058649593332e-24,12
137,static,16,4.996831567948,8.5676365772157333e-25,11
137,position_only,16,4.982899620558,9.9991706724957421e-25,11
137,rotor,16,4.998160808338,8.4422610385579666e-25,9
137,round_only,16,4.991590106457,9.0804303242127303e-25,11
138,static,16,4.977989203038,1.0558808386864397e-24,12
138,position_only,16,4.995146234277,8.7292797577195875e-25,11
138,rotor,16,5.021691965554,6.5031149411552653e-25,11
138,round_only,16,5.037693728200,5.4456441862084122e-25,10
139,static,16,5.057402129938,4.3764718568568011e-25,12
139,position_only,16,5.036064445814,5.5449376540286799e-25,9
139,rotor,16,4.981258208358,1.0182860875020208e-24,10
139,round_only,16,4.971268040167,1.1375939004345116e-24,10
140,static,16,4.939613393921,1.6160367141910009e-24,12
140,position_only,16,4.927152901740,1.8555255279151511e-24,11
140,rotor,16,4.986934546753,9.5615839009368718e-25,12
140,round_only,16,4.999615966971,8.3071113957968192e-25,12
141,static,16,4.997652551125,8.4899823479919613e-25,10
141,position_only,16,4.946476457653,1.4975985621035658e-24,11
141,rotor,16,4.991526025281,9.0868859252021628e-25,9
141,round_only,16,4.990848097221,9.1554628121092812e-25,9
142,static,16,5.025259485583,6.2508422872353167e-25,11
142,position_only,16,4.907892692879,2.2973826826661348e-24,9
142,rotor,16,5.012489451808,7.2018679302650743e-25,9
142,round_only,16,4.991378224375,9.101793040293829e-25,9
143,static,16,4.874552807403,3.3251729000907003e-24,9
143,position_only,16,4.883885124823,2.9982325368264685e-24,10
143,rotor,16,4.923273584679,1.9370979718818572e-24,9
143,round_only,16,4.910768142261,2.2252755636764848e-24,8
144,static,16,4.986280159899,9.6312283847274632e-25,10
144,position_only,16,5.038688769010,5.3858799319449337e-25,9
144,rotor,16,4.997886529914,8.4679801856453626e-25,10
144,round_only,16,4.997093870646,8.5427492818063351e-25,10
145,static,16,4.893435540240,2.6969067398842939e-24,9
145,position_only,16,5.019967069719,6.6287151415212679e-25,12
145,rotor,16,4.966735563527,1.1962386703085995e-24,12
145,round_only,16,4.977989633358,1.0558757996009467e-24,11
146,static,16,4.946790662901,1.492389040643453e-24,13
146,position_only,16,5.014852676195,7.0155662486973664e-25,11
146,rotor,16,4.979498807890,1.0383503825305014e-24,12
146,round_only,16,4.974098205812,1.102442173768323e-24,10
147,static,16,4.891793482896,2.7464700337563929e-24,9
147,position_only,16,4.946690763994,1.4940433961293636e-24,11
147,rotor,16,4.950129008457,1.4381459969692377e-24,10
147,round_only,16,4.958953193824,1.3040716842928485e-24,11
148,static,16,4.977972646404,1.0560747362083201e-24,11
148,position_only,16,4.973221276580,1.1132162334589503e-24,12
148,rotor,16,4.987496090388,9.502222086993815e-25,9
148,round_only,16,4.966624641037,1.1977111524791289e-24,11
149,static,16,4.973700895897,1.1073105914860494e-24,11
149,position_only,16,5.004154168855,7.8993594442907888e-25,10
149,rotor,16,4.953235871128,1.3894369210787098e-24,11
149,round_only,16,4.956787222356,1.3357765750254633e-24,11
150,static,16,4.999676185522,8.3015653842344449e-25,9
