context_index,variant,mean_one_step_retention_probability,neglog2_mean_one_step_retention,distinct_sbox_input_differences_over_16_rounds
80,rotor,0.03118896484375,5.002820519062,198
80,round_only,0.03118896484375,5.002820519062,198
81,static,0.031494140625,4.988772744577,95
81,position_only,0.03179931640625,4.974860437721,97
81,rotor,0.031707763671875,4.979020061096,197
81,round_only,0.031707763671875,4.979020061096,197
82,static,0.0328369140625,4.928537637443,90
82,position_only,0.03228759765625,4.952876087886,89
82,rotor,0.0330352783203125,4.919848690386,189
82,round_only,0.0330352783203125,4.919848690386,189
83,static,0.0301513671875,5.051632768415,94
83,position_only,0.031982421875,4.966576998463,98
83,rotor,0.03204345703125,4.963826387447,195
83,round_only,0.03204345703125,4.963826387447,195
84,static,0.03057861328125,5.031333206805,95
84,position_only,0.03143310546875,4.991571377929,94
84,rotor,0.03143310546875,4.991571377929,193
84,round_only,0.03143310546875,4.991571377929,193
85,static,0.031982421875,4.966576998463,94
85,position_only,0.02923583984375,5.096118154264,93
85,rotor,0.0309600830078125,5.013446850243,193
85,round_only,0.0309600830078125,5.013446850243,193
86,static,0.02984619140625,5.066309345048,98
86,position_only,0.03021240234375,5.048715285033,107
86,rotor,0.0305938720703125,5.030613478658,201
86,round_only,0.0305938720703125,5.030613478658,201
87,static,0.030029296875,5.057485494661,101
87,position_only,0.030517578125,5.034215715338,95
87,rotor,0.0316162109375,4.983191712313,193
87,round_only,0.0316162109375,4.983191712313,193
88,static,0.030029296875,5.057485494661,105
88,position_only,0.03216552734375,4.958340848363,106
88,rotor,0.032135009765625,4.959710278974,197
88,round_only,0.032135009765625,4.959710278974,197
89,static,0.0328369140625,4.928537637443,94
89,position_only,0.0318603515625,4.972094003430,102
89,rotor,0.0323944091796875,4.948111344095,199
89,round_only,0.0323944091796875,4.948111344095,199
90,static,0.0308837890625,5.017006425306,99
90,position_only,0.03277587890625,4.931221722015,95
90,rotor,0.032379150390625,4.948791059085,198
90,round_only,0.032379150390625,4.948791059085,198
91,static,0.03204345703125,4.963826387447,97
91,position_only,0.0322265625,4.955605880642,94
91,rotor,0.0321044921875,4.961081010708,196
91,round_only,0.0321044921875,4.961081010708,196
92,static,0.03350830078125,4.899337660995,100
92,position_only,0.03228759765625,4.952876087886,97
92,rotor,0.0323944091796875,4.948111344095,195
92,round_only,0.0323944091796875,4.948111344095,195
93,static,0.03216552734375,4.958340848363,96
93,position_only,0.02996826171875,5.060420785685,96
93,rotor,0.030670166015625,5.027020213934,189
93,round_only,0.030670166015625,5.027020213934,189
94,static,0.02972412109375,5.072222037918,99
94,position_only,0.0308837890625,5.017006425306,100
94,rotor,0.0315093994140625,4.988073933693,192
94,round_only,0.0315093994140625,4.988073933693,192
95,static,0.03143310546875,4.991571377929,97
95,position_only,0.031005859375,5.011315313228,100
95,rotor,0.0313873291015625,4.993673921475,196
95,round_only,0.0313873291015625,4.993673921475,196
96,static,0.0316162109375,4.983191712313,95
96,position_only,0.0316162109375,4.983191712313,97
96,rotor,0.0320892333984375,4.961766865268,188
96,round_only,0.0320892333984375,4.961766865268,188
97,static,0.03131103515625,4.997184984393,97
97,position_only,0.03167724609375,4.980409271642,91
97,rotor,0.0313720703125,4.994375450806,189
97,round_only,0.0313720703125,4.994375450806,189
98,static,0.03021240234375,5.048715285033,93
98,position_only,0.03271484375,4.933910809542,96
98,rotor,0.03118896484375,5.002820519062,182
98,round_only,0.03118896484375,5.002820519062,182
99,static,0.03240966796875,4.947431949196,103
99,position_only,0.03155517578125,4.985979529685,95
99,rotor,0.03167724609375,4.980409271642,190
99,round_only,0.03167724609375,4.980409271642,190
100,static,0.03057861328125,5.031333206805,103
100,position_only,0.03131103515625,4.997184984393,95
100,rotor,0.0308685302734375,5.017719395442,201
100,round_only,0.0308685302734375,5.017719395442,201
101,static,0.03021240234375,5.048715285033,101
101,position_only,0.03173828125,4.977632186972,101
101,rotor,0.0314178466796875,4.992271885368,201
101,round_only,0.0314178466796875,4.992271885368,201
102,static,0.03155517578125,4.985979529685,94
102,position_only,0.0291748046875,5.099133192019,98
102,rotor,0.03057861328125,5.031333206805,205
102,round_only,0.03057861328125,5.031333206805,205
103,static,0.0328369140625,4.928537637443,106
103,position_only,0.0313720703125,4.994375450806,98
103,rotor,0.032470703125,4.944717564499,199
103,round_only,0.032470703125,4.944717564499,199
104,static,0.03057861328125,5.031333206805,100
104,position_only,0.03155517578125,4.985979529685,103
